time,X_value,Y_value,Z_value
0.7944,0.07905,-9.88135,-0.82884
0.7972,0.07186,-9.88614,-0.81686
0.7985,0.06468,-9.88854,-0.80249
0.8011,0.05989,-9.88854,-0.79290
0.8029,0.05749,-9.88854,-0.78332
0.8047,0.04312,-9.87895,-0.76895
0.8065,0.00958,-9.86937,-0.75218
0.8087,-0.03114,-9.86458,-0.73781
0.8112,-0.06947,-9.85260,-0.72343
0.8134,-0.10540,-9.83104,-0.71385
0.8207,-0.13415,-9.81428,-0.70667
0.8208,-0.14612,-9.80948,-0.70427
0.8208,-0.14852,-9.81188,-0.71146
0.8211,-0.15331,-9.81428,-0.72583
0.8329,-0.15810,-9.81907,-0.74499
0.8331,-0.15331,-9.82386,-0.76416
0.8331,-0.14612,-9.83104,-0.78332
0.8331,-0.14133,-9.83823,-0.79769
0.8332,-0.13175,-9.83344,-0.81207
0.8332,-0.11977,-9.82625,-0.82884
0.8345,-0.11259,-9.81907,-0.85039
0.8367,-0.10301,-9.81188,-0.86477
0.8384,-0.08624,-9.80230,-0.87435
0.8414,-0.07186,-9.78793,-0.87914
0.8424,-0.05989,-9.76876,-0.87675
0.8452,-0.04791,-9.74960,-0.87195
0.8463,-0.04072,-9.72564,-0.86477
0.8490,-0.04551,-9.70169,-0.85758
0.8506,-0.05031,-9.68492,-0.85279
0.8527,-0.05749,-9.67294,-0.84081
0.8541,-0.06947,-9.67294,-0.82884
0.8611,-0.08145,-9.67773,-0.81925
0.8611,-0.09342,-9.68252,-0.80488
0.8617,-0.10061,-9.68971,-0.79290
0.8623,-0.10540,-9.70408,-0.78332
0.8649,-0.10301,-9.71367,-0.77614
0.8661,-0.08863,-9.72085,-0.77134
0.8688,-0.06947,-9.73522,-0.76895
0.8704,-0.04791,-9.74720,-0.76416
0.8730,-0.03114,-9.75199,-0.75697
0.8748,-0.01437,-9.74960,-0.75697
0.8769,-0.00240,-9.74960,-0.75697
0.8783,0.00240,-9.75199,-0.75458
0.8805,0.00000,-9.75199,-0.75458
0.8838,0.00000,-9.75439,-0.75937
0.8850,0.00000,-9.75918,-0.77134
0.8946,0.00000,-9.77116,-0.77614
0.8946,-0.01198,-9.78074,-0.77134
0.8947,-0.03114,-9.78793,-0.77614
0.8947,-0.04791,-9.79990,-0.78811
0.8947,-0.05989,-9.82146,-0.80009
0.9001,-0.07186,-9.84302,-0.80967
0.9001,-0.08384,-9.85979,-0.82165
0.9016,-0.09342,-9.87656,-0.82644
0.9033,-0.10061,-9.89572,-0.82404
0.9054,-0.10061,-9.91728,-0.81686
0.9074,-0.09342,-9.93645,-0.81446
0.9104,-0.09103,-9.95321,-0.80488
0.9118,-0.08384,-9.96280,-0.79051
0.9130,-0.07666,-9.97477,-0.78093
0.9145,-0.07426,-9.98915,-0.77614
0.9171,-0.07426,-9.99873,-0.77134
0.9187,-0.07666,-10.00112,-0.76416
0.9210,-0.08384,-10.00352,-0.74739
0.9228,-0.09103,-10.00831,-0.73541
0.9251,-0.09342,-10.01789,-0.72343
0.9266,-0.09582,-10.02268,-0.71385
0.9295,-0.09821,-10.02029,-0.70906
0.9311,-0.09821,-10.01550,-0.70427
0.9337,-0.09342,-10.01070,-0.69948
0.9402,-0.08863,-9.99873,-0.69708
0.9402,-0.08145,-9.98675,-0.69229
0.9402,-0.08145,-9.97238,-0.68990
0.9425,-0.07666,-9.95082,-0.69469
0.9425,-0.06468,-9.93165,-0.68750
0.9475,-0.05749,-9.91489,-0.67313
0.9476,-0.05510,-9.89572,-0.66594
0.9505,-0.06228,-9.87416,-0.65636
0.9510,-0.06947,-9.84542,-0.63720
0.9531,-0.06947,-9.81907,-0.61803
0.9692,-0.06707,-9.80469,-0.61324
0.9697,-0.06468,-9.79272,-0.61324
0.9701,-0.05510,-9.78074,-0.61085
0.9701,-0.04072,-9.76637,-0.60606
0.9702,-0.03114,-9.74960,-0.60606
0.9703,-0.02875,-9.72804,-0.61085
0.9703,-0.02875,-9.71846,-0.61564
0.9704,-0.03114,-9.70887,-0.62522
0.9714,-0.03114,-9.69929,-0.63959
0.9730,-0.02395,-9.69690,-0.65876
0.9796,-0.00719,-9.69450,-0.68511
0.9796,0.00719,-9.68492,-0.71385
0.9796,0.01198,-9.68252,-0.73302
0.9810,0.00479,-9.68492,-0.73781
0.9821,-0.00479,-9.68971,-0.74499
0.9854,-0.01198,-9.68971,-0.76416
0.9863,-0.01198,-9.68492,-0.79290
0.9890,-0.00719,-9.68252,-0.81686
0.9907,0.00479,-9.68731,-0.83363
0.9927,0.00958,-9.69450,-0.84800
0.9948,0.00719,-9.70169,-0.85998
0.9964,0.00719,-9.70887,-0.87195
0.9980,0.00479,-9.71127,-0.88154
1.0010,0.00000,-9.71367,-0.89591
1.0022,0.00000,-9.71606,-0.91028
1.0062,-0.00479,-9.72325,-0.92465
1.0064,-0.00479,-9.72564,-0.93424
1.0094,-0.00240,-9.72325,-0.93663
1.0116,-0.00479,-9.72325,-0.93184
1.0176,-0.00479,-9.73522,-0.92226
1.0177,-0.00479,-9.75199,-0.91986
1.0197,-0.00719,-9.76397,-0.92705
1.0197,-0.00719,-9.76876,-0.93184
1.0227,-0.01198,-9.77595,-0.92465
1.0229,-0.02156,-9.78793,-0.91747
1.0281,-0.02875,-9.80230,-0.91268
1.0282,-0.02875,-9.81428,-0.91028
1.0310,-0.03114,-9.82865,-0.91268
1.0312,-0.04312,-9.84302,-0.90549
1.0343,-0.05989,-9.86698,-0.90310
1.0351,-0.06707,-9.89333,-0.90070
1.0364,-0.07186,-9.91249,-0.89830
1.0386,-0.07426,-9.93165,-0.90549
1.0405,-0.07905,-9.94603,-0.91507
1.0422,-0.07905,-9.95561,-0.91747
1.0445,-0.08145,-9.96519,-0.91507
1.0457,-0.08145,-9.97477,-0.90549
1.0484,-0.07905,-9.98915,-0.89830
1.0498,-0.07666,-9.99394,-0.88872
1.0525,-0.07186,-9.99154,-0.88633
1.0546,-0.06468,-9.98675,-0.88633
1.0601,-0.06707,-9.98435,-0.87914
1.0607,-0.06707,-9.97717,-0.86716
1.0607,-0.07186,-9.97238,-0.85279
1.0609,-0.07426,-9.95561,-0.84321
1.0629,-0.07666,-9.94124,-0.83363
1.0645,-0.08384,-9.93165,-0.82644
1.0669,-0.08624,-9.92207,-0.82404
1.0686,-0.08863,-9.90530,-0.81925
1.0736,-0.09582,-9.89093,-0.81925
1.0736,-0.09821,-9.88135,-0.82404
1.0755,-0.09582,-9.86937,-0.82644
1.0767,-0.08863,-9.85260,-0.82644
1.0795,-0.08384,-9.84302,-0.82884
1.0808,-0.08145,-9.83583,-0.83123
1.0837,-0.08384,-9.81667,-0.82644
1.0849,-0.08384,-9.79990,-0.82404
1.0878,-0.08624,-9.78553,-0.82644
1.0996,-0.09582,-9.77116,-0.82404
1.0997,-0.10540,-9.75439,-0.81925
1.1059,-0.11019,-9.74720,-0.81686
1.1074,-0.11259,-9.74002,-0.81446
1.1077,-0.11738,-9.73762,-0.80728
1.1078,-0.12217,-9.73762,-0.80249
1.1078,-0.12696,-9.73522,-0.80488
1.1078,-0.12936,-9.73283,-0.80488
1.1078,-0.12936,-9.73762,-0.79769
1.1078,-0.12217,-9.74481,-0.79530
1.1122,-0.11259,-9.75199,-0.79290
1.1122,-0.11019,-9.75918,-0.78332
1.1129,-0.11498,-9.76876,-0.76655
1.1151,-0.11977,-9.77834,-0.75218
1.1171,-0.11738,-9.78313,-0.74499
1.1192,-0.11259,-9.79272,-0.73781
1.1217,-0.11259,-9.80469,-0.72343
1.1229,-0.11259,-9.80948,-0.70427
1.1248,-0.11019,-9.81188,-0.69229
1.1265,-0.11259,-9.81667,-0.68271
1.1282,-0.11977,-9.82386,-0.67313
1.1305,-0.12217,-9.82865,-0.66355
1.1330,-0.11498,-9.83104,-0.66594
1.1396,-0.10301,-9.83583,-0.68271
1.1397,-0.09342,-9.84542,-0.69469
1.1397,-0.09103,-9.85500,-0.70188
1.1405,-0.09103,-9.86219,-0.71625
1.1425,-0.09103,-9.86458,-0.73541
1.1444,-0.08384,-9.87177,-0.75458
1.1466,-0.07666,-9.87177,-0.76176
1.1483,-0.07666,-9.86937,-0.76895
1.1508,-0.07426,-9.86937,-0.77374
1.1527,-0.06707,-9.87416,-0.77374
1.1560,-0.05989,-9.88374,-0.77853
1.1563,-0.05749,-9.89093,-0.78572
1.1591,-0.05749,-9.88854,-0.78811
1.1607,-0.05749,-9.88135,-0.79290
1.1627,-0.06228,-9.87656,-0.79290
1.1652,-0.06947,-9.87656,-0.79290
1.1667,-0.07426,-9.88135,-0.79530
1.1684,-0.08145,-9.88374,-0.79769
1.1721,-0.09582,-9.88135,-0.80249
1.1723,-0.10540,-9.87656,-0.80967
1.1744,-0.11738,-9.87416,-0.80728
1.1793,-0.12696,-9.87416,-0.80488
1.1796,-0.13175,-9.87416,-0.80967
1.1803,-0.14133,-9.87177,-0.82404
1.1826,-0.15331,-9.86458,-0.83123
1.1850,-0.16289,-9.85500,-0.82884
1.1865,-0.16768,-9.84542,-0.83123
1.1882,-0.17487,-9.83583,-0.83842
1.1904,-0.18685,-9.83823,-0.85039
1.1919,-0.19643,-9.84063,-0.86716
1.1950,-0.21080,-9.83583,-0.88154
1.1957,-0.22517,-9.82625,-0.88633
1.1981,-0.23476,-9.82865,-0.88872
1.2000,-0.24194,-9.83583,-0.88872
1.2022,-0.24673,-9.84063,-0.88872
1.2042,-0.25871,-9.83823,-0.88872
1.2142,-0.26829,-9.83583,-0.89112
1.2142,-0.27308,-9.85021,-0.89351
1.2230,-0.27788,-9.86219,-0.88393
1.2230,-0.27548,-9.86458,-0.86716
1.2230,-0.27069,-9.86458,-0.85998
1.2239,-0.26350,-9.86937,-0.86477
1.2242,-0.25632,-9.87177,-0.86956
