time,ax,ay,az,atotal
2021-03-04 17:30:33.4600,-0.28,-0.24,0.4,0.54
2021-03-04 17:30:33.4700,-0.42,-0.14,0.47,0.64
2021-03-04 17:30:33.4800,-0.53,-0.09,0.37,0.65
2021-03-04 17:30:33.5010,-0.48,-0.08,0.15,0.5
2021-03-04 17:30:33.5030,-0.49,-0.11,0.11,0.51
2021-03-04 17:30:33.5090,-0.38,-0.01,-0.08,0.38
2021-03-04 17:30:33.5190,-0.17,0.02,-0.53,0.55
2021-03-04 17:30:33.5300,0.05,0.15,-0.77,0.78
2021-03-04 17:30:33.5390,0.28,0.29,-0.94,1.02
2021-03-04 17:30:33.5490,0.46,0.41,-0.98,1.15
2021-03-04 17:30:33.5590,0.61,0.46,-0.87,1.15
2021-03-04 17:30:33.5690,0.7,0.33,-0.62,0.99
2021-03-04 17:30:33.5800,0.71,0.09,-0.24,0.75
2021-03-04 17:30:33.5980,0.61,-0.09,0.13,0.63
2021-03-04 17:30:33.6000,0.47,-0.12,0.41,0.63
2021-03-04 17:30:33.6090,0.33,-0.06,0.61,0.69
2021-03-04 17:30:33.6190,0.19,0.01,0.68,0.7
2021-03-04 17:30:33.6290,0.06,-0.01,0.65,0.65
2021-03-04 17:30:33.6390,-0.06,-0.17,0.61,0.63
2021-03-04 17:30:33.6490,-0.09,-0.42,0.53,0.68
2021-03-04 17:30:33.6590,-0.02,-0.67,0.41,0.78
2021-03-04 17:30:33.6690,0.07,-0.85,0.32,0.91
2021-03-04 17:30:33.6790,0.12,-0.85,0.21,0.88
2021-03-04 17:30:33.6980,0.1,-0.68,0.09,0.69
2021-03-04 17:30:33.7000,0.04,-0.35,-0.06,0.35
2021-03-04 17:30:33.7080,-0.06,-0.02,-0.05,0.08
2021-03-04 17:30:33.7180,-0.2,0.23,0.05,0.3
2021-03-04 17:30:33.7280,-0.34,0.45,0.04,0.56
2021-03-04 17:30:33.7380,-0.41,0.58,-0.09,0.71
2021-03-04 17:30:33.7480,-0.38,0.64,-0.31,0.8
2021-03-04 17:30:33.7580,-0.32,0.63,-0.46,0.84
2021-03-04 17:30:33.7680,-0.19,0.74,-0.7,1.03
2021-03-04 17:30:33.7790,-0.09,0.72,-0.95,1.19
2021-03-04 17:30:33.7990,-0.04,0.62,-1.06,1.22
2021-03-04 17:30:33.8000,-0.09,0.44,-1.04,1.13
2021-03-04 17:30:33.8080,-0.19,0.17,-1.03,1.06
2021-03-04 17:30:33.8170,-0.31,-0.1,-0.85,0.91
2021-03-04 17:30:33.8270,-0.38,-0.37,-0.57,0.77
2021-03-04 17:30:33.8380,-0.33,-0.57,-0.27,0.71
2021-03-04 17:30:33.8470,-0.24,-0.64,0.01,0.68
2021-03-04 17:30:33.8570,-0.1,-0.54,0.19,0.58
2021-03-04 17:30:33.8670,0.05,-0.21,0.26,0.33
2021-03-04 17:30:33.8780,0.19,0.17,0.27,0.37
2021-03-04 17:30:33.8980,0.31,0.42,0.28,0.59
2021-03-04 17:30:33.9000,0.4,0.47,0.32,0.69
2021-03-04 17:30:33.9070,0.42,0.38,0.42,0.7
2021-03-04 17:30:33.9160,0.4,0.22,0.51,0.68
2021-03-04 17:30:33.9270,0.39,0.09,0.57,0.69
2021-03-04 17:30:33.9370,0.37,0.03,0.54,0.65
2021-03-04 17:30:33.9470,0.3,0.09,0.36,0.47
2021-03-04 17:30:33.9570,0.19,0.22,0.09,0.3
2021-03-04 17:30:33.9670,0.1,0.32,-0.15,0.36
2021-03-04 17:30:33.9770,0.04,0.34,-0.31,0.46
2021-03-04 17:30:33.9980,0.01,0.26,-0.4,0.47
2021-03-04 17:30:34.0000,0.0,0.13,-0.43,0.44
2021-03-04 17:30:34.0060,0.0,0.02,-0.41,0.41
2021-03-04 17:30:34.0160,-0.01,-0.04,-0.35,0.35
2021-03-04 17:30:34.0260,-0.04,-0.1,-0.26,0.28
2021-03-04 17:30:34.0360,-0.1,-0.11,-0.13,0.19
2021-03-04 17:30:34.0460,-0.19,-0.11,0.02,0.22
2021-03-04 17:30:34.0560,-0.28,-0.12,0.12,0.32
2021-03-04 17:30:34.0660,-0.37,-0.09,0.2,0.43
2021-03-04 17:30:34.0760,-0.4,-0.03,0.22,0.45
2021-03-04 17:30:34.0970,-0.41,0.08,0.19,0.45
2021-03-04 17:30:34.0990,-0.36,0.2,0.14,0.43
2021-03-04 17:30:34.1050,-0.27,0.33,0.05,0.42
2021-03-04 17:30:34.1150,-0.13,0.43,-0.03,0.45
2021-03-04 17:30:34.1260,0.0,0.49,-0.08,0.49
2021-03-04 17:30:34.1360,0.13,0.51,-0.12,0.53
2021-03-04 17:30:34.1450,0.21,0.55,-0.19,0.61
2021-03-04 17:30:34.1550,0.25,0.54,-0.28,0.65
2021-03-04 17:30:34.1660,0.26,0.49,-0.39,0.67
2021-03-04 17:30:34.1760,0.22,0.45,-0.49,0.7
2021-03-04 17:30:34.1960,0.17,0.43,-0.56,0.72
2021-03-04 17:30:34.1980,0.12,0.42,-0.58,0.72
2021-03-04 17:30:34.2050,0.06,0.34,-0.62,0.7
2021-03-04 17:30:34.2140,0.0,0.2,-0.64,0.67
2021-03-04 17:30:34.2250,-0.09,0.05,-0.63,0.63
2021-03-04 17:30:34.2350,-0.16,-0.03,-0.6,0.62
2021-03-04 17:30:34.2450,-0.23,-0.01,-0.63,0.67
2021-03-04 17:30:34.2550,-0.28,0.03,-0.7,0.75
2021-03-04 17:30:34.2650,-0.26,0.06,-0.69,0.73
2021-03-04 17:30:34.2760,-0.22,0.07,-0.61,0.65
2021-03-04 17:30:34.2960,-0.13,0.08,-0.44,0.46
2021-03-04 17:30:34.2980,0.0,0.07,-0.19,0.2
2021-03-04 17:30:34.3040,0.11,0.04,0.07,0.13
2021-03-04 17:30:34.3140,0.18,-0.02,0.28,0.33
2021-03-04 17:30:34.3240,0.22,-0.13,0.46,0.52
2021-03-04 17:30:34.3340,0.22,-0.25,0.59,0.67
2021-03-04 17:30:34.3440,0.2,-0.37,0.62,0.74
2021-03-04 17:30:34.3540,0.15,-0.43,0.54,0.7
2021-03-04 17:30:34.3650,0.11,-0.46,0.39,0.61
2021-03-04 17:30:34.3750,0.12,-0.48,0.19,0.53
2021-03-04 17:30:34.3960,0.17,-0.48,0.0,0.5
2021-03-04 17:30:34.3970,0.24,-0.44,-0.09,0.5
2021-03-04 17:30:34.4030,0.34,-0.38,-0.1,0.51
2021-03-04 17:30:34.4130,0.43,-0.27,-0.02,0.5
2021-03-04 17:30:34.4240,0.43,-0.15,0.12,0.47
2021-03-04 17:30:34.4340,0.37,-0.03,0.27,0.45
2021-03-04 17:30:34.4430,0.27,0.03,0.41,0.49
2021-03-04 17:30:34.4540,0.12,0.07,0.45,0.47
2021-03-04 17:30:34.4640,-0.04,0.12,0.43,0.44
2021-03-04 17:30:34.4740,-0.16,0.11,0.4,0.44
2021-03-04 17:30:34.4950,-0.23,0.03,0.33,0.4
2021-03-04 17:30:34.4970,-0.24,-0.03,0.25,0.34
2021-03-04 17:30:34.5030,-0.19,0.0,0.11,0.21
2021-03-04 17:30:34.5120,-0.11,0.07,-0.05,0.13
2021-03-04 17:30:34.5230,-0.01,0.17,-0.2,0.26
2021-03-04 17:30:34.5330,0.07,0.23,-0.32,0.4
2021-03-04 17:30:34.5430,0.14,0.18,-0.38,0.44
2021-03-04 17:30:34.5530,0.17,0.06,-0.35,0.39
2021-03-04 17:30:34.5640,0.16,-0.06,-0.27,0.31
2021-03-04 17:30:34.5730,0.1,-0.13,-0.15,0.22
2021-03-04 17:30:34.5930,0.0,-0.16,-0.01,0.16
2021-03-04 17:30:34.5950,-0.11,-0.13,0.1,0.19
2021-03-04 17:30:34.6020,-0.22,-0.07,0.16,0.28
2021-03-04 17:30:34.6120,-0.29,0.05,0.18,0.34
2021-03-04 17:30:34.6230,-0.3,0.16,0.15,0.37
2021-03-04 17:30:34.6320,-0.24,0.25,0.09,0.35
