time,ax,ay,az
2021-03-04 17:29:04.7600,0.14,0.05,-0.04
2021-03-04 17:29:04.7710,0.15,0.11,0.02
2021-03-04 17:29:04.7900,0.18,0.08,0.09
2021-03-04 17:29:04.7920,0.15,-0.01,0.13
2021-03-04 17:29:04.8000,0.1,-0.07,0.15
2021-03-04 17:29:04.8100,0.03,-0.08,0.15
2021-03-04 17:29:04.8200,-0.04,-0.05,0.13
2021-03-04 17:29:04.8300,-0.12,0.02,0.12
2021-03-04 17:29:04.8400,-0.12,0.08,0.05
2021-03-04 17:29:04.8500,-0.05,0.09,-0.03
2021-03-04 17:29:04.8600,0.03,0.12,-0.07
2021-03-04 17:29:04.8710,0.07,0.14,-0.12
2021-03-04 17:29:04.8900,0.05,0.05,-0.13
2021-03-04 17:29:04.8920,-0.04,0.07,-0.08
2021-03-04 17:29:04.8990,-0.11,0.08,0.02
2021-03-04 17:29:04.9100,-0.22,-0.03,0.07
2021-03-04 17:29:04.9190,-0.35,-0.12,0.11
2021-03-04 17:29:04.9290,-0.38,-0.12,0.16
2021-03-04 17:29:04.9390,-0.34,0.01,0.25
2021-03-04 17:29:04.9490,-0.27,0.26,0.25
2021-03-04 17:29:04.9600,-0.22,0.63,0.23
2021-03-04 17:29:04.9700,-0.21,0.93,0.15
2021-03-04 17:29:04.9880,-0.29,0.45,-0.16
2021-03-04 17:29:04.9890,-0.18,-0.15,-0.21
2021-03-04 17:29:04.9990,-0.05,-0.41,-0.04
2021-03-04 17:29:05.0090,0.08,-0.6,-0.07
2021-03-04 17:29:05.0190,0.26,-0.63,-0.21
2021-03-04 17:29:05.0290,0.41,-0.46,-0.27
2021-03-04 17:29:05.0390,0.43,-0.26,-0.23
2021-03-04 17:29:05.0490,0.3,-0.11,-0.15
2021-03-04 17:29:05.0590,0.14,-0.01,-0.02
2021-03-04 17:29:05.0690,-0.01,0.15,0.12
2021-03-04 17:29:05.0870,-0.11,0.29,0.23
2021-03-04 17:29:05.0890,-0.17,0.37,0.21
2021-03-04 17:29:05.0980,-0.21,0.39,0.11
2021-03-04 17:29:05.1080,-0.24,0.31,0.03
2021-03-04 17:29:05.1180,-0.24,0.19,-0.03
2021-03-04 17:29:05.1280,-0.22,0.11,-0.07
2021-03-04 17:29:05.1380,-0.18,0.05,-0.1
2021-03-04 17:29:05.1490,-0.11,0.02,-0.11
2021-03-04 17:29:05.1580,-0.06,0.02,-0.15
